Program,Priority
"Computer Science and Engineering (4 Years, Bachelor of Technology)",1
"Computer Engineering (4 Years, Bachelor of Technology)",2
"Information Technology (4 Years, Bachelor of Technology)",3
"Electrical Engineering (4 Years, Bachelor of Technology)",4
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",5
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",6
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",7
"Computer Science and Engineering and M.Tech Computer Science (5 Years, Bachelor and Master of Technology (Dual Degree))",8
"Computer Science and Engineering and M.Tech in Information Security (5 Years, Bachelor and Master of Technology (Dual Degree))",9
"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",10
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",11
"Mechanical Engineering (4 Years, Bachelor of Technology)",12
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13
"Electronics and Communication Engineering and M.Tech Communication and Network (5 Years, Bachelor and Master of Technology (Dual Degree))",14
"Electronics and Instrumentation Engineering and M.Tech VLSI Design and Embedded (5 Years, Bachelor and Master of Technology (Dual Degree))",15
"Electrical Engineering and M.Tech Control and Automation (5 Years, Bachelor and Master of Technology (Dual Degree))",16
"Electrical Engineering and M.Tech Electronic Systems and Communications (5 Years, Bachelor and Master of Technology (Dual Degree))",17
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",18
"Civil Engineering (4 Years, Bachelor of Technology)",19
"Architecture (5 Years, Bachelor of Architecture)",20
"Chemical Engineering (4 Years, Bachelor of Technology)",21
"Mining Engineering (4 Years, Bachelor of Technology)",22
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",23
"Metallurgical Engineering (4 Years, Bachelor of Technology)",24
"Production Engineering (4 Years, Bachelor of Technology)",25
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",26
"Industrial and Production Engineering (4 Years, Bachelor of Technology)",27
"Bio Medical Engineering (4 Years, Bachelor of Technology)",28
"Industrial Design (4 Years, Bachelor of Technology)",29
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",30
"Food Process Engineering (4 Years, Bachelor of Technology)",31
"Ceramic Engineering (4 Years, Bachelor of Technology)",32
"Engineering Physics (4 Years, Bachelor of Technology)",33
"Mathematics (5 Years, Integrated Master of Science)",34
"Physics (5 Years, Integrated Master of Science)",35
"Chemistry (5 Years, Integrated Master of Science)",36
"Mechanical Engineering and M.Tech Mechatronics and Automation (5 Years, Bachelor and Master of Technology (Dual Degree))",37
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",38
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",39
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",40
"Mathematics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",41
"Material Science (5 Years, Bachelor of Science and Master of Science (Dual Degree))",42
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",43
"Life Science (5 Years, Integrated Master of Science)",44
"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",45
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",46
"Civil Engineering and M.Tech in Water Resources (5 Years, Bachelor and Master of Technology (Dual Degree))",47
"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",48
"Planning (4 Years, Bachelor of Planning)",49
"Bio Engineering (4 Years, Bachelor of Technology)",50
"Textile Technology (4 Years, Bachelor of Technology)",51
"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",52
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",53
"Bio Technology (4 Years, Bachelor of Technology)",54
